year_month,Application Value,Development Value,Economic Value,Interest Value,Social Value
2008-01-01,0.0,1.0,0.0,0.0,1.0
2008-02-01,1.0,7.0,2.0,0.0,16.0
2008-03-01,0.0,5.0,1.0,0.0,8.0
2008-04-01,6.0,87.0,17.0,1.0,93.0
2008-05-01,8.0,180.0,34.0,4.0,241.0
2008-06-01,97.0,1684.0,324.0,57.0,1258.0
2008-07-01,13.0,434.0,78.0,10.0,284.0
2008-08-01,31.0,746.0,152.0,17.0,479.0
2008-09-01,39.0,777.0,167.0,19.0,545.0
2008-10-01,35.0,630.0,135.0,14.0,458.0
2008-11-01,25.0,451.0,98.0,13.0,301.0
2008-12-01,34.0,621.0,119.0,23.0,391.0
2009-01-01,33.0,747.0,149.0,22.0,532.0
2009-02-01,25.0,542.0,109.0,14.0,329.0
2009-03-01,24.0,518.0,113.0,15.0,340.0
2009-04-01,15.0,483.0,99.0,18.0,352.0
2009-05-01,26.0,417.0,84.0,15.0,269.0
2009-06-01,17.0,337.0,95.0,8.0,260.0
2009-07-01,23.0,451.0,139.0,11.0,331.0
2009-08-01,25.0,473.0,130.0,19.0,350.0
2009-09-01,15.0,404.0,112.0,10.0,307.0
2009-10-01,33.0,538.0,154.0,14.0,398.0
2009-11-01,21.0,384.0,110.0,11.0,331.0
2009-12-01,22.0,447.0,124.0,9.0,367.0
2010-01-01,26.0,683.0,153.0,16.0,485.0
2010-02-01,38.0,720.0,196.0,12.0,540.0
2010-03-01,46.0,759.0,214.0,33.0,570.0
2010-04-01,46.0,750.0,185.0,26.0,553.0
2010-05-01,43.0,788.0,170.0,29.0,502.0
2010-06-01,52.0,807.0,222.0,22.0,575.0
2010-07-01,49.0,945.0,280.0,36.0,687.0
2010-08-01,77.0,1180.0,307.0,42.0,860.0
2010-09-01,60.0,848.0,287.0,33.0,642.0
2010-10-01,48.0,803.0,231.0,36.0,530.0
2010-11-01,53.0,645.0,169.0,17.0,430.0
2010-12-01,58.0,679.0,177.0,28.0,510.0
2011-01-01,65.0,902.0,235.0,36.0,627.0
2011-02-01,61.0,795.0,214.0,34.0,546.0
2011-03-01,62.0,954.0,249.0,40.0,596.0
2011-04-01,74.0,780.0,240.0,46.0,575.0
2011-05-01,56.0,816.0,237.0,41.0,623.0
2011-06-01,66.0,835.0,259.0,28.0,615.0
2011-07-01,47.0,760.0,255.0,44.0,571.0
2011-08-01,76.0,936.0,305.0,38.0,638.0
2011-09-01,73.0,924.0,243.0,33.0,683.0
2011-10-01,79.0,887.0,270.0,43.0,674.0
2011-11-01,56.0,775.0,242.0,38.0,536.0
2011-12-01,57.0,762.0,188.0,19.0,583.0
2012-01-01,70.0,1010.0,307.0,33.0,718.0
2012-02-01,84.0,985.0,262.0,45.0,695.0
2012-03-01,66.0,965.0,277.0,54.0,707.0
2012-04-01,102.0,1210.0,298.0,62.0,939.0
2012-05-01,120.0,1351.0,392.0,79.0,1056.0
2012-06-01,193.0,2259.0,634.0,140.0,1600.0
2012-07-01,172.0,2153.0,580.0,110.0,1533.0
2012-08-01,183.0,2263.0,644.0,121.0,1648.0
2012-09-01,144.0,2016.0,557.0,103.0,1444.0
2012-10-01,122.0,1863.0,523.0,87.0,1320.0
2012-11-01,119.0,1457.0,440.0,92.0,1086.0
2012-12-01,112.0,1447.0,366.0,86.0,995.0
2013-01-01,127.0,1910.0,507.0,115.0,1388.0
2013-02-01,149.0,1653.0,481.0,99.0,1145.0
2013-03-01,145.0,2050.0,549.0,101.0,1489.0
2013-04-01,142.0,1637.0,506.0,75.0,1198.0
2013-05-01,125.0,1571.0,444.0,109.0,1145.0
2013-06-01,126.0,1413.0,436.0,71.0,1058.0
2013-07-01,125.0,1724.0,494.0,108.0,1273.0
2013-08-01,165.0,2074.0,597.0,129.0,1442.0
2013-09-01,180.0,2068.0,562.0,127.0,1465.0
2013-10-01,213.0,2462.0,673.0,159.0,2065.0
2013-11-01,147.0,2067.0,576.0,126.0,1588.0
2013-12-01,131.0,1781.0,498.0,110.0,1293.0
2014-01-01,208.0,2561.0,705.0,182.0,1851.0
2014-02-01,246.0,2744.0,743.0,179.0,2058.0
