year_month,"food, parking, location, technology, commute","health, insurance, leave, pto, benefits","hours, schedule, work life, flexible, balance","manager, leadership, supervisor, management, ceo","people, environment, diversity, inclusive, team","promotion, career, opportunity, growth, training","remote, home, hybrid, office, online","salary, pay, bonus, compensation, wage"
2008-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-02,0.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0
2008-03,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
2008-04,1.0,1.0,27.0,17.0,20.0,10.0,0.0,24.0
2008-05,0.0,1.0,60.0,54.0,39.0,9.0,2.0,55.0
2008-06,31.0,4.0,429.0,280.0,244.0,121.0,10.0,453.0
2008-07,4.0,2.0,115.0,76.0,60.0,30.0,4.0,99.0
2008-08,6.0,1.0,208.0,129.0,88.0,40.0,1.0,206.0
2008-09,9.0,4.0,242.0,124.0,100.0,37.0,6.0,224.0
2008-10,9.0,3.0,176.0,106.0,104.0,45.0,1.0,157.0
2008-11,7.0,2.0,144.0,77.0,61.0,24.0,3.0,108.0
2008-12,7.0,3.0,150.0,97.0,84.0,31.0,3.0,172.0
2009-01,11.0,3.0,209.0,136.0,104.0,50.0,2.0,186.0
2009-02,10.0,3.0,139.0,104.0,68.0,24.0,0.0,122.0
2009-03,2.0,1.0,132.0,94.0,59.0,31.0,3.0,151.0
2009-04,3.0,2.0,133.0,93.0,65.0,30.0,0.0,125.0
2009-05,6.0,0.0,84.0,80.0,74.0,22.0,2.0,104.0
2009-06,3.0,1.0,85.0,60.0,57.0,25.0,0.0,101.0
2009-07,5.0,4.0,122.0,89.0,76.0,38.0,2.0,128.0
2009-08,2.0,1.0,133.0,87.0,71.0,30.0,0.0,149.0
2009-09,9.0,0.0,105.0,89.0,57.0,22.0,2.0,115.0
2009-10,5.0,2.0,139.0,78.0,87.0,35.0,3.0,191.0
2009-11,2.0,1.0,99.0,78.0,74.0,24.0,2.0,127.0
2009-12,4.0,1.0,139.0,89.0,71.0,20.0,2.0,135.0
2010-01,7.0,0.0,192.0,117.0,84.0,35.0,3.0,213.0
2010-02,5.0,4.0,205.0,155.0,77.0,43.0,4.0,219.0
2010-03,9.0,1.0,259.0,125.0,103.0,54.0,3.0,218.0
2010-04,8.0,2.0,232.0,137.0,99.0,58.0,4.0,209.0
2010-05,7.0,3.0,223.0,117.0,119.0,42.0,3.0,203.0
