firm,overall_rating,recommend_percent,outlook_percent
AFH-Wealth-Management,2.94,40.32,40.32
AJ-Bell,3.36,51.75,51.75
ALDI,3.42,43.93,43.18
AQA,3.62,56.14,33.33
ASDA,3.35,41.42,23.91
ASOS,3.25,46.67,34.78
AXA-UK,4.03,73.44,53.91
Abcam,4.41,84.83,81.38
Abertawe-Bro-Morgannwg-University-Health-Board,3.33,44.44,55.56
Accenture,3.73,60.11,48.14
Accor,3.76,56.44,39.45
Achieving-for-Children,4.33,66.67,50.0
ActionCOACH,4.28,75.0,61.67
Active-Care-Group,3.31,56.25,42.19
Adecco,3.23,41.85,25.29
Age-UK-The-National-Charity,3.87,50.86,25.71
AlixPartners,4.25,78.43,72.55
American-Express,3.86,61.9,40.14
Amey,3.25,48.6,33.48
Angard-Staffing,2.79,33.94,14.68
Anglian-Water,4.47,83.39,76.75
Anglo-American,3.98,62.83,46.84
Animal-and-Plant-Health-Agency,3.68,40.91,36.36
Aon,3.48,48.79,37.72
Apple,4.05,64.63,50.69
Arcadia,3.01,35.15,16.36
Arnold-Clark,3.4,51.86,48.73
AstraZeneca,3.73,57.4,39.23
Aviva,3.46,47.7,31.88
B-and-M-Retail,3.51,55.56,49.92
B-and-Q,3.32,47.54,30.45
BAT,3.74,65.69,36.4
BBC,3.83,59.04,33.45
BDO,3.42,37.44,30.35
BHS,3.35,36.54,17.69
BIS,3.31,48.44,23.44
BNP-Paribas,3.51,47.14,30.98
BNY-Mellon,3.12,38.33,25.91
BP,3.67,63.97,36.76
BPP-Holdings,3.35,46.22,39.08
BT,3.43,50.01,34.18
Babcock-International-Group,3.21,42.39,28.64
Babylon-Health,3.04,43.87,38.92
Bain-and-Company,4.56,75.95,66.44
Balfour-Beatty,3.43,47.31,35.68
Bannatyne-Group,3.55,60.84,49.81
Barchester-Healthcare,2.88,39.61,35.67
Barclays,3.58,48.78,30.85
Barnardo-s,3.04,37.65,20.59
Barnet-and-Chase-Farm-Hospitals-NHS-Trust,3.89,44.44,25.93
Barnett-Waddingham,4.27,74.29,61.43
Barratt-Developments,3.99,70.37,62.04
Barts-Health-NHS-Trust,3.52,46.3,25.93
BayWa-r-e-renewable-energy,3.83,50.0,55.56
Bayer,3.73,55.09,35.13
Best-Western,3.26,41.33,30.79
Betsi-Cadwaladr-University-Health-Board,3.0,40.48,21.43
Bill-and-Melinda-Gates-Foundation,3.38,52.02,39.01
Birkbeck-College,3.85,50.0,30.23
Birmingham-City-University,3.76,48.74,27.73
Bloomberg-L-P,3.61,53.19,38.42
Blue-Arrow,3.58,53.81,38.56
Blue-Yonder,3.78,62.66,46.86
Booking-com,3.5,55.08,41.18
Boots,3.45,42.51,24.11
Boots-Opticians,2.99,31.64,20.0
Boston-Consulting-Group,4.3,64.07,54.79
Brewin-Dolphin,3.75,56.0,51.2
British-Airways,3.18,38.88,21.7
British-Red-Cross,3.4,41.01,27.7
Brook-Street,3.14,38.33,25.55
Bullhorn,4.09,71.35,64.59
Bupa,3.35,53.38,35.2
Burberry,3.46,47.81,32.26
CBRE,3.66,53.46,43.06
CVS-Group,3.54,51.47,42.65
Cambridge-Assessment,3.51,52.46,37.16
Capita,2.88,34.62,26.17
Capital-Group,3.65,57.77,37.32
CarShop-UK,4.65,86.43,83.72
Cardiff-University,3.97,50.33,31.91
Care-UK,3.23,48.03,38.43
Career-Legal,3.61,61.11,35.19
Christie-s,3.43,44.68,26.62
Cisco-Systems,3.9,69.06,49.06
Citi,3.48,48.27,32.3
Citizens-Advice,4.03,52.06,32.06
CityFibre,4.44,79.22,80.52
Civil-Service-United-Kingdom,3.83,45.63,28.54
Co-op,3.47,45.94,30.26
Colosseum-Dental,2.92,41.67,41.67
Colt-Technology-Services,3.93,71.88,58.04
Communities-and-Local-Government,3.72,40.1,30.73
Companies-House,4.09,65.22,47.83
Compass-Group,3.28,42.58,28.92
Cougar-Mountain,3.36,38.27,27.16
Countrywide-plc,3.12,43.36,31.52
Covea-Insurance,4.22,76.71,65.75
Coventry-University,3.57,43.03,30.34
Creative-Support,2.26,23.56,18.67
