firm,pros_Economic Value,pros_Interest Value,pros_Social Value,pros_Development Value,pros_Application Value,cons_Economic Value,cons_Interest Value,cons_Social Value,cons_Development Value,cons_Application Value
AFH-Wealth-Management,9.21,0.95,50.49,45.23,2.19,20.06,0.74,36.53,49.84,1.15
AJ-Bell,8.18,4.83,52.63,48.24,1.23,32.96,5.27,29.59,50.79,0.82
ALDI,38.53,3.39,20.55,38.63,3.91,9.48,5.4,27.03,34.77,9.93
AQA,14.53,6.42,42.35,40.57,3.17,13.73,5.12,30.09,42.95,7.62
ASDA,20.07,5.69,31.73,35.28,4.09,15.55,3.61,29.29,40.67,5.49
ASOS,10.96,6.32,39.62,38.92,2.16,14.84,2.49,35.77,49.01,2.86
AXA-UK,14.57,1.66,45.52,50.11,1.17,15.44,1.8,32.23,51.65,1.73
Abcam,2.41,1.01,62.06,51.29,0.66,16.3,6.24,32.59,47.32,1.4
Abertawe-Bro-Morgannwg-University-Health-Board,26.29,20.99,22.17,34.64,5.24,24.91,0.0,29.99,50.0,0.0
Accenture,10.78,1.39,43.02,47.5,3.4,14.86,1.52,35.1,48.27,4.41
Accor,10.41,3.46,40.0,46.61,1.23,22.52,4.11,23.9,42.88,3.01
Achieving-for-Children,0.0,0.0,44.89,45.01,0.0,16.86,9.38,25.07,55.16,0.0
ActionCOACH,3.05,0.93,53.54,50.04,0.0,8.84,0.61,36.34,46.84,2.31
Active-Care-Group,13.0,2.4,40.66,43.22,3.55,20.55,1.77,31.72,43.18,3.72
Adecco,19.45,3.13,31.72,41.27,3.93,27.29,2.06,24.64,44.61,3.33
Age-UK-The-National-Charity,3.26,4.87,46.12,40.76,2.94,21.96,3.07,24.34,43.89,4.18
AlixPartners,10.06,0.81,53.8,47.95,2.46,9.97,2.19,38.73,44.52,7.41
American-Express,15.14,2.38,41.9,44.72,2.43,17.26,1.45,30.56,50.61,2.22
Amey,15.65,3.47,35.57,41.58,3.73,21.77,1.39,30.04,49.88,3.1
Angard-Staffing,30.42,5.63,20.02,29.63,5.98,22.91,4.76,18.72,31.02,6.07
Anglian-Water,14.54,0.89,48.49,52.75,1.37,10.15,1.26,29.76,41.01,4.02
Anglo-American,16.38,1.39,37.39,51.2,1.66,12.04,2.47,30.43,50.36,3.95
Animal-and-Plant-Health-Agency,15.58,6.06,35.78,37.63,6.15,24.0,5.75,22.84,46.88,4.05
Aon,11.38,3.96,40.35,43.07,3.33,21.13,1.83,27.17,47.76,3.07
Apple,18.2,2.05,38.66,42.93,3.5,11.01,3.55,32.42,41.48,4.95
Arcadia,11.64,5.36,36.73,38.81,3.34,25.54,2.54,27.33,48.95,2.2
Arnold-Clark,20.94,1.2,34.67,47.55,2.67,15.67,1.58,32.95,42.42,3.95
AstraZeneca,17.73,2.56,36.62,47.02,1.88,12.72,1.57,31.53,51.85,1.95
Aviva,17.09,3.89,38.67,45.59,1.92,18.47,1.5,29.4,51.06,1.96
B-and-M-Retail,8.34,3.12,43.15,40.8,3.94,28.87,2.31,23.59,39.8,4.34
B-and-Q,19.28,3.77,36.71,40.66,3.37,13.89,3.15,33.33,44.48,3.97
BAT,26.33,1.6,34.9,52.32,1.52,9.84,0.72,38.92,55.57,2.84
BBC,5.22,3.0,44.61,41.78,3.94,21.89,1.26,29.34,52.08,1.94
BDO,8.56,3.5,41.24,43.65,2.81,24.87,3.7,22.91,42.66,4.99
BHS,8.8,4.19,44.49,42.03,3.08,16.91,3.5,30.44,46.69,1.65
BIS,9.55,3.85,40.46,39.45,2.92,19.76,1.15,31.91,50.45,3.83
BNP-Paribas,13.49,3.41,39.02,42.95,2.81,23.73,1.93,25.56,49.51,2.65
BNY-Mellon,16.13,4.14,36.49,41.87,3.42,26.41,1.45,27.17,51.63,2.17
BP,18.73,2.24,38.48,46.14,2.76,14.4,2.35,33.66,51.39,3.22
BPP-Holdings,10.27,3.82,44.49,45.48,2.54,12.94,2.09,34.47,47.84,3.18
BT,16.37,3.61,35.62,41.81,3.66,15.78,1.58,30.27,49.93,2.39
Babcock-International-Group,19.27,3.58,33.56,44.87,3.81,15.49,2.12,34.86,52.79,2.7
Babylon-Health,4.13,3.5,49.64,46.03,2.74,8.01,0.66,43.85,54.75,2.03
Bain-and-Company,4.33,0.57,54.83,48.01,2.75,6.69,4.82,31.16,35.62,9.49
Balfour-Beatty,16.84,2.54,36.4,45.33,2.75,18.2,2.52,31.7,48.88,3.16
Bannatyne-Group,8.37,5.58,41.3,43.04,1.86,23.3,4.19,26.05,39.27,4.38
Barchester-Healthcare,9.22,4.41,43.87,46.03,2.36,13.82,1.38,39.28,49.68,2.36
Barclays,16.63,2.93,37.2,44.25,2.76,15.56,1.74,29.57,49.63,2.69
Barnardo-s,5.75,3.22,46.39,41.96,4.06,15.12,2.84,37.46,49.02,3.71
Barnet-and-Chase-Farm-Hospitals-NHS-Trust,10.92,4.62,44.07,42.5,2.6,7.59,4.28,30.84,45.52,5.4
