firm,Economic Value_fit,Interest Value_fit,Social Value_fit,Development Value_fit,Application Value_fit
AFH-Wealth-Management,9.21,0.95,50.49,45.23,2.19
AJ-Bell,8.18,4.83,52.63,48.24,1.23
ALDI,38.53,3.39,20.55,38.63,3.91
AQA,14.53,6.42,42.35,40.57,3.17
ASDA,20.07,5.69,31.73,35.28,4.09
ASOS,10.96,6.32,39.62,38.92,2.16
AXA-UK,14.57,1.66,45.52,50.11,1.17
Abcam,2.41,1.01,62.06,51.29,0.66
Abertawe-Bro-Morgannwg-University-Health-Board,26.29,20.99,22.17,34.64,5.24
Accenture,10.78,1.39,43.02,47.5,3.4
Accor,10.41,3.46,40.0,46.61,1.23
Achieving-for-Children,0.0,0.0,44.89,45.01,0.0
ActionCOACH,3.05,0.93,53.54,50.04,0.0
Active-Care-Group,13.0,2.4,40.66,43.22,3.55
Adecco,19.45,3.13,31.72,41.27,3.93
Age-UK-The-National-Charity,3.26,4.87,46.12,40.76,2.94
AlixPartners,10.06,0.81,53.8,47.95,2.46
American-Express,15.14,2.38,41.9,44.72,2.43
Amey,15.65,3.47,35.57,41.58,3.73
Angard-Staffing,30.42,5.63,20.02,29.63,5.98
Anglian-Water,14.54,0.89,48.49,52.75,1.37
Anglo-American,16.38,1.39,37.39,51.2,1.66
Animal-and-Plant-Health-Agency,15.58,6.06,35.78,37.63,6.15
Aon,11.38,3.96,40.35,43.07,3.33
Apple,18.2,2.05,38.66,42.93,3.5
Arcadia,11.64,5.36,36.73,38.81,3.34
Arnold-Clark,20.94,1.2,34.67,47.55,2.67
AstraZeneca,17.73,2.56,36.62,47.02,1.88
Aviva,17.09,3.89,38.67,45.59,1.92
B-and-M-Retail,8.34,3.12,43.15,40.8,3.94
B-and-Q,19.28,3.77,36.71,40.66,3.37
BAT,26.33,1.6,34.9,52.32,1.52
BBC,5.22,3.0,44.61,41.78,3.94
BDO,8.56,3.5,41.24,43.65,2.81
BHS,8.8,4.19,44.49,42.03,3.08
BIS,9.55,3.85,40.46,39.45,2.92
BNP-Paribas,13.49,3.41,39.02,42.95,2.81
BNY-Mellon,16.13,4.14,36.49,41.87,3.42
BP,18.73,2.24,38.48,46.14,2.76
BPP-Holdings,10.27,3.82,44.49,45.48,2.54
BT,16.37,3.61,35.62,41.81,3.66
Babcock-International-Group,19.27,3.58,33.56,44.87,3.81
Babylon-Health,4.13,3.5,49.64,46.03,2.74
Bain-and-Company,4.33,0.57,54.83,48.01,2.75
Balfour-Beatty,16.84,2.54,36.4,45.33,2.75
Bannatyne-Group,8.37,5.58,41.3,43.04,1.86
Barchester-Healthcare,9.22,4.41,43.87,46.03,2.36
Barclays,16.63,2.93,37.2,44.25,2.76
Barnardo-s,5.75,3.22,46.39,41.96,4.06
Barnet-and-Chase-Farm-Hospitals-NHS-Trust,10.92,4.62,44.07,42.5,2.6
Barnett-Waddingham,9.77,3.61,49.66,43.71,2.7
Barratt-Developments,15.87,0.31,42.46,51.73,1.81
Barts-Health-NHS-Trust,10.36,5.07,41.91,45.12,2.19
BayWa-r-e-renewable-energy,6.58,6.56,47.37,52.16,0.0
Bayer,17.67,2.62,38.45,47.01,1.8
Best-Western,9.7,7.42,39.53,36.33,3.63
Betsi-Cadwaladr-University-Health-Board,20.65,0.0,35.08,50.96,2.17
Bill-and-Melinda-Gates-Foundation,12.0,1.18,45.87,48.45,1.87
Birkbeck-College,10.66,4.7,42.38,40.84,2.15
Birmingham-City-University,9.83,5.25,42.14,42.46,4.13
Bloomberg-L-P,15.78,3.86,40.44,46.15,1.83
Blue-Arrow,18.98,4.58,30.84,40.95,5.2
Blue-Yonder,10.12,2.19,44.15,43.53,3.43
Booking-com,11.88,4.46,44.99,42.89,1.73
Boots,22.67,3.57,32.42,41.05,2.62
Boots-Opticians,17.74,2.92,35.73,43.58,2.99
Boston-Consulting-Group,9.45,1.39,44.99,46.5,3.7
Brewin-Dolphin,4.61,3.24,47.9,47.11,1.98
British-Airways,14.12,3.72,37.91,38.42,3.08
British-Red-Cross,5.36,1.84,46.54,43.76,3.58
Brook-Street,17.95,1.45,34.08,44.76,1.93
Bullhorn,6.05,2.47,53.62,50.11,1.31
Bupa,12.29,4.06,42.05,45.47,1.43
Burberry,20.15,2.86,36.07,44.59,1.69
CBRE,11.97,3.55,38.79,45.69,2.41
CVS-Group,20.82,1.14,34.98,48.31,1.55
Cambridge-Assessment,15.09,6.59,39.5,44.98,1.75
Capita,11.94,4.94,37.01,41.46,3.38
Capital-Group,26.89,1.63,39.34,51.2,0.91
CarShop-UK,8.79,0.48,51.58,48.14,3.05
Cardiff-University,17.94,7.21,32.84,40.43,3.7
Care-UK,11.49,3.93,41.14,42.6,3.76
Career-Legal,19.93,2.51,36.9,43.91,4.25
Christie-s,4.07,4.08,48.49,37.77,4.16
Cisco-Systems,9.95,2.83,45.11,46.85,2.37
Citi,17.66,2.85,35.99,45.67,2.55
Citizens-Advice,5.13,1.97,45.45,40.97,5.73
CityFibre,8.8,2.11,48.75,48.74,0.9
Civil-Service-United-Kingdom,20.02,4.39,28.08,40.13,3.96
Co-op,19.68,4.56,33.08,38.25,3.78
Colosseum-Dental,7.91,5.36,33.62,46.18,1.03
Colt-Technology-Services,10.05,1.95,49.17,52.39,1.21
Communities-and-Local-Government,13.3,4.0,29.28,37.92,4.7
Companies-House,15.05,3.44,43.89,46.25,2.81
Compass-Group,15.34,4.8,32.27,38.5,4.13
Cougar-Mountain,5.64,7.27,38.01,35.74,5.3
Countrywide-plc,11.6,3.54,39.78,47.77,2.75
Covea-Insurance,3.48,2.03,54.39,48.71,1.04
Coventry-University,10.18,6.41,35.99,40.86,2.23
Creative-Support,2.23,1.7,47.24,45.78,2.04
Cromwell-Tools,7.52,1.85,46.53,49.78,2.48
Crown-Prosecution-Service,19.33,3.26,29.12,37.82,11.85
Crowne-Plaza-Hotels-and-Resorts,11.94,5.43,39.23,38.64,3.02
Curtis-Banks,6.31,9.25,47.7,43.52,0.65
Cushman-and-Wakefield,12.82,3.89,40.67,45.32,2.34
Cygnet-Health-Care,10.16,3.93,39.22,42.15,3.48
DFID,10.08,1.52,39.88,47.38,3.48
DFS-Furniture,25.19,2.57,30.13,43.35,1.34
DHL-Supply-Chain,20.84,3.08,30.59,42.23,3.02
DPDgroup,27.92,4.43,22.74,35.49,4.94
DWF,7.76,6.47,43.65,43.08,1.85
Dalata-Hotel-Group,7.91,4.4,42.94,48.42,0.84
David-Lloyd-Leisure,11.54,11.02,32.58,37.2,1.99
Debenhams,11.42,5.2,40.28,37.83,3.56
Deloitte,9.95,2.07,40.84,45.64,3.23
Department-for-Work-And-Pensions,22.88,4.34,29.78,38.98,4.75
Department-of-Health-UK,10.79,2.26,41.2,42.09,2.91
Deutsche-Bank,14.8,2.88,39.12,45.19,2.78
Diageo,13.1,2.42,43.99,48.49,1.47
Diligenta,10.35,11.15,29.51,34.85,4.72
Dixons-Carphone,17.58,4.21,35.3,40.49,3.33
Doubletree-By-Hilton,11.12,5.55,40.2,39.0,3.15
Durham-County-Council,33.17,3.43,26.06,45.98,3.77
Dynatrace,6.01,2.39,47.78,49.38,1.87
EBRD,13.72,1.84,42.8,45.9,2.45
ENABLE-Scotland,5.8,1.57,42.71,38.33,7.4
ENGIE,14.02,3.61,37.21,43.75,2.92
EY,8.44,2.09,41.85,46.21,2.96
East-Sussex-County-Council,19.0,4.98,30.74,44.05,0.98
Egon-Zehnder,6.54,4.53,47.23,42.35,3.98
Engineering-and-Physical-Sciences-Research-Council,42.28,4.85,14.26,34.74,5.36
Equiniti,10.4,4.62,43.01,43.87,2.31
Eversheds-Sutherland,10.32,5.92,45.11,44.24,2.56
Everyone-Active,12.3,13.47,29.03,32.64,3.66
FARFETCH,5.2,4.53,51.15,43.2,2.07
FYXER,3.29,3.32,53.31,33.46,7.51
Facebook,14.26,1.12,42.68,43.6,3.31
FirstPort,3.58,2.35,52.37,51.62,1.55
Foreign-and-Commonwealth-Office,7.48,2.93,43.55,39.73,5.26
Four-Seasons-Health-Care,4.83,2.62,47.0,45.08,2.74
Foxtons,12.37,2.33,42.18,48.26,2.74
Freshfields-Bruckhaus-Deringer,14.09,4.93,42.43,46.04,2.32
GLL,17.45,6.87,31.6,40.3,3.73
GTR-Govia-Thameslink-Railway,29.76,2.1,31.5,44.06,2.1
Gateley,1.68,0.7,59.85,48.19,0.56
Gi-Group,12.03,4.08,39.86,41.08,3.4
GlaxoSmithKline,16.63,2.31,38.03,47.68,1.82
Goldman-Sachs,14.11,1.44,40.6,46.9,3.28
Google,10.65,3.81,38.47,38.29,3.84
Grange-Hotels,11.86,5.27,37.86,37.67,5.38
Grant-Thornton,7.67,2.88,44.49,45.13,2.83
Grant-Thornton-UK-LLP,5.58,3.22,52.23,49.1,1.64
Grosvenor-Casinos,11.57,5.03,40.63,38.06,4.39
Guardian-News-and-Media,6.85,3.35,50.69,45.2,2.99
Guy-s-and-St-Thomas-NHS-Foundation-Trust,8.38,4.06,39.8,48.11,1.5
Gymbox,3.39,7.16,49.2,34.07,2.35
H-and-M,15.85,4.59,37.21,39.38,3.18
