firm,year,overall_rating,work_life_balance,culture_values,career_opp,comp_benefits,senior_mgmt
AFH-Wealth-Management,2015,2.0,3.5,2.0,2.0,2.0,3.5
AFH-Wealth-Management,2016,2.9,2.7,2.4,2.4,2.3,2.4
AFH-Wealth-Management,2017,3.2,3.8,3.1,3.2,3.3,3.0
AFH-Wealth-Management,2018,3.7,4.2,3.5,3.8,3.0,3.2
AFH-Wealth-Management,2019,2.8,3.6,3.2,2.9,2.9,3.4
AFH-Wealth-Management,2020,2.6,3.4,3.2,2.8,2.8,2.0
AFH-Wealth-Management,2021,2.8,3.4,2.9,2.4,2.5,2.4
AJ-Bell,2014,4.0,3.0,3.0,3.0,3.0,3.0
AJ-Bell,2015,2.8,4.2,2.4,2.2,2.4,2.4
AJ-Bell,2016,2.1,2.7,2.4,1.9,2.4,2.0
AJ-Bell,2017,4.5,4.2,4.6,4.5,3.6,4.3
AJ-Bell,2018,3.8,4.8,4.5,5.0,3.5,4.5
AJ-Bell,2019,4.0,3.9,4.2,3.2,3.0,3.5
AJ-Bell,2020,3.5,3.7,3.6,3.4,3.3,3.2
AJ-Bell,2021,2.8,2.9,3.0,2.9,2.6,2.6
ALDI,2008,2.0,3.0,,2.0,4.0,3.0
ALDI,2012,1.0,1.0,1.0,4.0,4.0,1.0
ALDI,2013,3.5,2.7,3.2,3.5,3.7,3.0
ALDI,2014,2.6,1.7,2.6,2.4,3.1,2.3
ALDI,2015,2.7,2.2,2.6,2.9,2.7,2.4
ALDI,2016,3.3,2.6,3.0,3.3,3.1,3.1
ALDI,2017,3.3,2.9,3.0,3.2,3.3,3.1
ALDI,2018,3.2,2.2,2.9,3.0,3.5,2.6
ALDI,2019,3.4,2.5,3.1,3.3,3.4,3.1
ALDI,2020,3.7,2.7,3.3,3.4,3.6,3.2
ALDI,2021,3.5,2.6,3.2,3.1,3.4,2.9
AQA,2013,3.5,4.3,3.0,3.0,4.0,2.3
AQA,2014,3.3,4.3,3.7,2.3,4.0,2.7
AQA,2015,3.1,3.1,2.8,1.8,2.0,2.3
AQA,2016,2.9,3.6,3.3,2.2,3.0,2.3
AQA,2017,3.4,3.2,2.9,2.7,2.9,2.8
AQA,2018,3.9,4.1,3.7,3.2,3.7,3.6
AQA,2019,4.1,3.9,4.0,3.1,3.3,2.9
AQA,2020,3.5,3.5,3.3,2.5,3.2,2.7
AQA,2021,4.2,4.4,4.2,3.5,3.8,3.7
ASDA,2009,2.2,2.0,,2.0,2.5,1.8
ASDA,2010,3.5,3.5,,3.1,3.1,3.5
ASDA,2011,3.0,3.4,,2.6,3.6,2.6
ASDA,2012,3.6,3.4,3.4,3.1,3.3,2.9
ASDA,2013,3.3,3.0,3.5,2.9,3.2,2.6
ASDA,2014,3.1,3.2,3.2,2.9,3.2,2.6
ASDA,2015,3.1,3.0,3.1,2.9,3.0,2.6
ASDA,2016,3.2,3.1,3.2,2.9,3.0,2.6
ASDA,2017,3.2,3.0,3.1,2.7,2.9,2.6
ASDA,2018,3.3,3.0,3.1,2.8,2.9,2.6
ASDA,2019,3.3,3.1,3.1,2.9,3.0,2.8
ASDA,2020,3.6,3.2,3.3,3.1,3.2,3.0
ASDA,2021,3.5,3.2,3.3,3.0,3.1,2.9
ASOS,2014,2.2,2.6,2.1,2.3,3.2,1.8
ASOS,2015,3.1,3.4,3.1,2.8,3.4,2.7
ASOS,2016,3.3,3.2,3.3,3.1,3.4,2.7
ASOS,2017,3.3,3.4,3.6,3.1,3.7,2.8
ASOS,2018,3.5,3.5,3.7,2.9,3.7,2.9
ASOS,2019,3.2,3.3,3.3,2.8,3.5,2.5
ASOS,2020,3.1,3.0,3.0,2.5,3.4,2.4
ASOS,2021,3.4,3.3,3.6,2.8,3.6,2.8
AXA-UK,2010,3.3,3.3,,3.0,3.7,3.0
AXA-UK,2011,4.0,4.0,,5.0,3.0,1.0
AXA-UK,2012,2.5,4.0,4.5,2.5,3.5,2.0
AXA-UK,2013,4.0,3.5,4.0,4.0,3.0,3.0
AXA-UK,2014,3.8,4.0,4.0,4.2,3.8,3.0
AXA-UK,2015,4.4,4.4,4.5,4.6,4.5,3.8
AXA-UK,2016,3.8,3.5,3.5,3.2,3.2,3.0
AXA-UK,2017,3.4,3.8,3.6,3.2,3.4,3.0
AXA-UK,2018,3.7,4.1,3.8,3.3,3.6,3.3
AXA-UK,2019,4.3,4.3,4.3,4.1,4.1,3.7
AXA-UK,2020,4.1,4.2,4.2,4.0,4.0,3.8
AXA-UK,2021,4.3,4.3,4.3,4.0,4.1,4.0
Abcam,2013,5.0,5.0,5.0,5.0,3.0,4.0
Abcam,2014,3.7,4.7,4.0,3.3,3.5,4.2
Abcam,2015,3.6,4.0,3.5,3.2,3.8,3.2
Abcam,2016,3.2,3.6,3.8,3.0,2.4,3.6
Abcam,2017,4.0,4.6,4.4,3.2,3.1,3.9
Abcam,2018,3.8,4.0,4.0,3.5,3.1,3.3
Abcam,2019,4.8,4.9,4.9,4.3,4.2,4.7
Abcam,2020,4.9,4.7,4.9,4.6,4.3,4.5
Abcam,2021,4.6,4.7,4.7,4.6,4.0,4.5
Abertawe-Bro-Morgannwg-University-Health-Board,2017,4.7,5.0,4.7,4.0,4.3,4.3
Abertawe-Bro-Morgannwg-University-Health-Board,2018,3.0,2.5,2.5,3.5,2.5,2.5
Abertawe-Bro-Morgannwg-University-Health-Board,2019,2.0,2.0,2.0,2.5,2.0,2.5
Abertawe-Bro-Morgannwg-University-Health-Board,2021,3.0,3.0,2.5,3.0,2.0,2.0
Accenture,2008,3.1,2.7,,3.2,3.0,3.0
Accenture,2009,3.1,3.0,,3.0,3.2,2.9
Accenture,2010,3.1,2.9,,3.1,2.9,2.9
Accenture,2011,3.1,3.1,,3.0,3.0,3.2
Accenture,2012,3.5,2.9,3.3,3.7,3.3,3.2
Accenture,2013,3.8,2.9,3.8,3.8,3.5,3.4
Accenture,2014,3.5,2.9,3.4,3.8,3.4,3.2
Accenture,2015,3.7,2.8,3.6,3.7,3.4,3.3
Accenture,2016,3.8,3.1,3.8,3.9,3.6,3.5
Accenture,2017,3.6,3.0,3.5,3.8,3.5,3.3
Accenture,2018,3.6,3.1,3.7,3.7,3.5,3.3
Accenture,2019,3.8,3.1,3.7,3.9,3.7,3.4
Accenture,2020,3.9,3.2,3.8,4.0,3.6,3.5
Accenture,2021,3.8,3.1,3.7,3.9,3.6,3.4
Accor,2008,4.0,3.0,,5.0,3.0,4.0
Accor,2009,4.0,4.0,,3.0,4.0,4.0
Accor,2010,4.0,4.0,,2.7,3.7,3.7
Accor,2011,3.2,2.5,,2.0,2.5,2.0
Accor,2012,3.7,3.2,3.1,3.6,3.3,3.2
Accor,2013,3.2,2.9,2.9,3.3,2.9,2.3
Accor,2014,3.1,3.1,3.2,3.2,3.0,2.8
Accor,2015,3.5,3.2,3.7,3.5,3.0,3.4
Accor,2016,3.7,3.4,3.9,3.7,3.4,3.4
Accor,2017,3.8,3.3,3.5,3.5,3.4,3.1
Accor,2018,3.9,3.4,3.9,3.7,3.4,3.5
Accor,2019,3.8,3.5,3.7,3.7,3.4,3.4
Accor,2020,3.9,3.4,3.8,3.7,3.4,3.5
Accor,2021,3.8,3.2,3.7,3.7,3.5,3.2
